P_date,R_no,N_product_purchased,N_units,Cost,Total_product_purchase,Type_purchase,Type_logistic,PRODUCTO,P_code_CLASS,P_code_NUM,PURCHASING_REGION,PURCHASING_HOSPITAL,PURCHASING_DEPARTMENT,N_Order_PEDIDO,YEAR,MONTH,DAYOFMONTH,DAYOFYEAR,time_idx
2015-01-02,413568,100,5,29.15,583.0,Minor purchase,STORABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,0,0,2,1312,2015,0.49999999999999994,0.39435585511331855,0.03442161162274574,0
2015-01-02,420680,100,10,20.9,209.0,Minor purchase,STORABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,E,66071,0,0,2,1312,2015,0.49999999999999994,0.39435585511331855,0.03442161162274574,0
2015-01-02,1624W,800,400,58.8,117.6,Minor purchase,STORABLE,APÓSITO TRANSPARENTE ADHESIVO-24,E,64751,0,0,2,1301,2015,0.49999999999999994,0.39435585511331855,0.03442161162274574,0
2015-01-02,400403,100,10,102.803729,1028.03729,Minor purchase,STORABLE,SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,B,41691,0,0,2,1292,2015,0.49999999999999994,0.39435585511331855,0.03442161162274574,0
2015-01-05,420680,160,10,20.9,334.4,Minor purchase,STORABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,E,66071,0,10,1,3616,2015,0.49999999999999994,0.8486442574947509,0.08596479873744647,1
2015-01-05,281 421,2000,1000,10.461204,20.922408,Minor purchase,STORABLE,APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,E,65159,0,10,1,3608,2015,0.49999999999999994,0.8486442574947509,0.08596479873744647,1
2015-01-07,31100,540,10,6.677003,360.558162,Minor purchase,STORABLE,APOSITO DE HIDROCOLOIDE-6,E,65486,0,10,1,6343,2015,0.49999999999999994,0.9884683243281114,0.1202080448993527,2
2015-01-07,157027.7,330,10,17.27,569.91,Minor purchase,STORABLE,APOSITO MALLADO C/ PARAFINA-38,E,64983,0,10,1,6619,2015,0.49999999999999994,0.9884683243281114,0.1202080448993527,2
2015-01-07,291010,420,70,493.416,2960.496,Minor purchase,STORABLE,APOSITO MALLADO C/ SILICONA-0,E,64940,0,18,1,6668,2015,0.49999999999999994,0.9884683243281114,0.1202080448993527,2
2015-01-07,413568,60,5,29.15,349.8,Minor purchase,STORABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,0,6,1,6368,2015,0.49999999999999994,0.9884683243281114,0.1202080448993527,2
2015-01-07,284300,200,50,447.41729,1789.66916,Minor purchase,STORABLE,APÓSITO DE ESPUMA DE POLIURETANO C/ SILICONA-3,E,64488,0,18,1,6668,2015,0.49999999999999994,0.9884683243281114,0.1202080448993527,2
2015-01-07,MAP190,100,50,324.85,649.7,Minor purchase,STORABLE,APOSITO C/ CARBON Y PLATA-4,E,73753,0,10,1,6722,2015,0.49999999999999994,0.9884683243281114,0.1202080448993527,2
