PRODUCT,P_date,PURCHASING_HOSPITAL,PURCHASING_DEPARTMENT,N_Order,R_no,N_units,Cost,Total_product_purchase,Type_purchase,Type_logistic,PRODUCTO,P_code_CLASS,P_code_NUM,YEAR,MONTH,DAYOFMONTH,DAYOFYEAR,N_product_purchased
64663,05-01-2023,0,2,12194/23,413568,100,527.9985,1055.997,Minor purchase,STORABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,2023,0.5,0.848644257,0.085964799,200
64663,09-01-2023,4,1,16192/23,413568,5,26.399925,422.3988,Minor purchase,STORABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,2023,0.5,0.968077119,0.154308821,80
64663,09-01-2023,7,3,13627/23,413568,100,527.9985,1055.997,Minor purchase,STORABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,2023,0.5,0.968077119,0.154308821,200
64663,11-01-2023,10,1,27685/23,413568,5,26.399925,1715.995125,Minor purchase,STORABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,2023,0.5,0.790775737,0.18822671,325
64663,18-01-2023,10,1,62514/23,413568,5,26.399925,1610.395425,Minor purchase,STORABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,2023,0.5,-0.485301963,0.304921225,305
64663,20-01-2023,18,1,75487/23,413568,100,527.9985,1055.997,Minor purchase,STORABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,2023,0.5,-0.790775737,0.3375229,200
64663,20-01-2023,13,1,75480/23,413568,100,527.9985,2111.994,Minor purchase,STORABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,2023,0.5,-0.790775737,0.3375229,400
64663,23-01-2023,0,2,77623/23,413568,100,527.9985,1055.997,Minor purchase,STORABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,2023,0.5,-0.998716507,0.385663406,200
64663,25-01-2023,10,1,93586/23,413568,5,26.399925,1610.395425,Minor purchase,STORABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,2023,0.5,-0.937752132,0.417193603,305
64663,03-02-2023,13,1,133914/23,413568,100,527.9985,2111.994,Minor purchase,STORABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,2023,0.866025404,0.571268215,0.552435313,400
64663,06-02-2023,10,1,140624/23,413568,5,26.399925,1636.79535,Minor purchase,STORABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,2023,0.866025404,0.937752132,0.594726687,310
64663,07-02-2023,18,1,147515/23,413568,5,26.399925,897.59745,Minor purchase,STORABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,2023,0.866025404,0.988468324,0.60847687,170
64663,11-02-2023,0,2,167655/23,413568,100,527.9985,1055.997,Minor purchase,STORABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,2023,0.866025404,0.790775737,0.661634618,200
64663,15-02-2023,10,1,185829/23,413568,100,527.9985,2111.994,Minor purchase,STORABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,2023,0.866025404,0.101168322,0.711656622,400
64663,20-02-2023,18,1,210843/23,413568,5,26.399925,897.59745,Minor purchase,STORABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,2023,0.866025404,-0.790775737,0.769414827,170
64663,21-02-2023,10,1,217129/23,413568,5,26.399925,1953.59445,Minor purchase,STORABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,2023,0.866025404,-0.89780454,0.780295851,370
64663,23-02-2023,13,1,229260/23,413568,100,527.9985,2111.994,Minor purchase,STORABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,2023,0.866025404,-0.998716507,0.801361088,400
64663,24-02-2023,8,,239697/23,413568,100,527.9985,7919.9775,Minor purchase,STORABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,2023,0.866025404,-0.988468324,0.811539059,1500
64663,27-02-2023,10,1,243018/23,413568,5,26.399925,1979.994375,Minor purchase,STORABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,2023,0.866025404,-0.724792787,0.840618406,375
64663,01-03-2023,18,1,250363/23,413568,5,26.399925,897.59745,Minor purchase,STORABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,2023,1,0.20129852,0.858763958,170
64663,02-03-2023,0,2,256786/23,413568,100,527.9985,1055.997,Minor purchase,STORABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,2023,1,0.394355855,0.867456355,200
64663,08-03-2023,18,1,283450/23,413568,5,26.399925,1610.395425,Minor purchase,STORABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,2023,1,0.998716507,0.914127988,305
64663,24-03-2023,4,1,380981/23,413568,5,26.399925,395.998875,Minor purchase,STORABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,2023,1,-0.988468324,0.989932495,75
64663,24-03-2023,0,2,382997/23,413568,100,527.9985,1055.997,Minor purchase,STORABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,2023,1,-0.988468324,0.989932495,200
64663,24-03-2023,18,1,380984/23,413568,5,26.399925,1478.3958,Minor purchase,STORABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,2023,1,-0.988468324,0.989932495,280
64663,27-03-2023,13,1,388030/23,413568,100,527.9985,2639.9925,Minor purchase,STORABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,2023,1,-0.724792787,0.995918996,500
64663,18-04-2023,8,,478782/23,413568,5,26.399925,1636.79535,Minor purchase,STORABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,2023,0.866025404,-0.485301963,0.958717817,310
64663,18-04-2023,13,1,478786/23,413568,100,527.9985,2639.9925,Minor purchase,STORABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,2023,0.866025404,-0.485301963,0.958717817,500
64663,19-04-2023,0,2,486360/23,413568,100,527.9985,1055.997,Minor purchase,STORABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,2023,0.866025404,-0.651372483,0.953680997,200
